iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 31, 2022"
Inception Date,"May 15, 2000"
Shares Outstanding,"704,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","22,658,895,875.52","7.10","22,658,895,875.52","129,642,384.00","174.78","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","19,419,793,560.36","6.09","19,419,793,560.36","62,447,082.00","310.98","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","10,852,825,808.28","3.40","10,852,825,808.28","3,627,924.00","2,991.47","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","6,769,261,165.70","2.12","6,769,261,165.70","2,501,510.00","2,706.07","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","6,336,390,920.40","1.99","6,336,390,920.40","6,764,445.00","936.72","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","6,311,144,543.13","1.98","6,311,144,543.13","2,325,429.00","2,713.97","United States","NASDAQ","USD","1.00","USD","-"
"FB","META PLATFORMS INC CLASS A","Communication","Equity","6,164,658,576.48","1.93","6,164,658,576.48","19,679,048.00","313.26","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","5,090,414,618.52","1.60","5,090,414,618.52","20,789,082.00","244.86","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","4,767,630,470.46","1.49","4,767,630,470.46","15,231,073.00","313.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,771,848,659.89","1.18","3,771,848,659.89","21,892,441.00","172.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","3,701,354,432.58","1.16","3,701,354,432.58","7,832,394.00","472.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
